Question,A,B,C,D,E,F
Programmed cell death is also called as:,Degeneration,Calcification,Apoptosis,Necrosis,Atrophy,
Which of the following medical condition is because of inherited defect in DNA repair?,Acanthosis nigricans,Xeroderma pigmentosum,Basal cell nevus syndrome,Bloom syndrome,Werner syndrome,
Which of the following is a pathologic cause of hyperplasia?,Endometrial hyperplasia,Compensatory hyperplasia after partial hepatectomy,Hormonal stimulation seen in breast development at puberty,Antigenic stimulation seen in lymphoid hyperplasia,Cardiac muscle in hypertension,
"In pathology, what is the name given when there is a reversible change of one cell type to another?",Hyperplasia,Hypertrophy,Metaplasia,Dysplasia,Atrophy,
Which of the following is the best statement for lipofuscin?,Perinuclear yellow-brown pigment,Black-brown pigment,Golden yellow-brown granular pigment,Protein,Lipid,
"Location of calcifications in interstitial tissues of the stomach, kidneys, lungs, and blood vessels is called as:",Metastatic calcification.,Dystrophic calcification,Hyaline change,Cutaneous mycetoma,Molluscum contagiosum,
Psammoma bodies belong to which type of pathologic form of calcification?,Dystrophic calcification,Metastatic calcification,Calcifications in interstitial tissues of the stomach,Calcifications in the kidney,Calcifications in the blood vessels,
A 49-year-old woman has hypertension untreated for years. Which of the following cellular alteration will be seen in the myocardium of this patient?,Apoptosis,Atrophy,Hyperplasia,Metaplasia,Hypertrophy,
"In pathology, what is the name given to abnormal prolif - eration of cells that is characterized by changes in cell size, shape, and loss of cellular organization?",Hyperplasia,Hypertrophy,Metaplasia,Dysplasia,Atrophy,
Which type of necrosis is most characteristic of isch - emia involving the heart or kidney?,Coagulative,Liquefactive,Caseous,Fibrinoid,Enzymatic  2,
Apoptosis is an active process regulated by genes and involves RNA and protein synthesis. Which of the fol - lowing is a central organ in apoptosis?,Ribosomes,Golgi body,Mitochondria,Nucleus,Lysosomes,
"Irreversible, uncontrolled cell death that occurs when antigen-antibody complexes are deposited in the walls of blood vessels along with fibrin is called as:",Gangrenous necrosis,Fat necrosis,Fibrinoid necrosis,Caseous necrosis,Liquefaction necrosis,
Which of the following organ shows liquefaction necrosis?,Heart,Brain,Gall bladder,Liver,Kidney,
Degeneration and condensation of nuclear chromatin is defined as:,Karyorrhexis,Karyolysis,Nuclear fusion,Nuclear fission,Pyknosis,
"In tumor metastasis, cancer cells spread from the place where they first formed to another part of the body. What is essential for tumor metastasis?",Apoptosis,Inhibition of tyrosine kinase activity,Angiogenesis,Tumorigenesis,Ischemia,
A 10-year-old male child suffering from thalassemia comes to the pediatrician office for follow up checkup. On physical examination the skin of the patient has a bronze color. Which of the following findings will be seen in liver biopsy of this male child?,Apoptotic hepatocytes,Hepatocyte swelling,Hepatocyte regeneration,Hemosiderin in hepatocytes,Cholestasis,
Decrease in cell size and functional ability is defined as:,Atrophy,Apoptosis,Hypertrophy,Hyperplasia,Metaplasia,
Walerian degeneration is seen in:,Part of nerve attached to cell body in a nerve that is cut peripherally,Cell body that is not attached to the nerve that is cut,Part of nerve not attached to cell body,Cell body that is attached to the nerve that is cut,It is not a type of nerve injury,
Granuloma is characterized by-,Focal accumulation of activated macrophages,Collection of neutrophils,Newly formed vessels,Collection of eosinophils,Collection of basophils,
"Marked mitochondrial dysfunction, mitochondrial swelling and large densities within the mitochondrial matrix are seen in which type of cell injury?",Cell death,Irreversible cell injury,Reversible cell injury,Necrosis,Apoptosis,
"To which of the following family of chemical mediators of inflammation, lipoxins belong?",Chemokines,Arachidonic acid metabolites,Kinin system,Cytokines,Vasoactive amines,
Enzyme responsible for respiratory burst is?,Peroxidase,Catalase,NADPH oxidase,Dehydrogenase,Lysozyme,
Procalcitonin is considered as a marker for?,Sepsis,Medullary carcinoma of thyroid,Vitamin D resistant rickets,Parathyroid adenoma,Hyperthyroidism,
"A 92-year-old man presents to his health care provider with a history of mild dementia, osteoarthritis, emphy - sema, cataract, and hypertension. What is the most likely diagnosis?",Hypovitaminosis E,Werner syndrome,Natural aging,Progeria (Hutchinson-Gilford syndrome),"Alzheimer’s disease1 Cellular Pathology, Inflammation, and Repair 3",
What cellular adaptation has occurred in this tissue shown below?,Metaplasia,Hyperplasia,Fatty change,Hypertrophy,Atrophy,
Which of the following disorder is more likely to be associated with an exudate rather than a transudate?,Congestive heart failure,Inflammation,Nephrotic syndrome,Chronic liver disease,Diabetes mellitus,
In acute inflammation hemodynamic changes like mas - sive vasodilation are mediated by which of the following chemicals?,Histamine,Bradykinin,Prostaglandins,"Histamine, bradykinin, and prostaglandins",Histamine and bradykinin,
Inflammation is associated with which of the following cytokines?,Cytokines (IL-1),Cytokines (IL-6),Tumor necrosis factor-alpha,"IL-1, IL-6, and tumor necrosis factor-alpha",Prostacyclin (PGI 2),
Cytokines IL-8 is produced by which cell?,Neutrophil,Macrophage,Lymphocyte,Eosinophil,Basophil,
Kupffer cells are found in which system?,Connective tissue,Lung,Liver,Bone,Brain,
Which of the mitochondrial enzyme that activates cas - pases and indirectly brings about cell death through intrinsic pathway apoptosis?,Cytochrome c,Monoamine oxidase,Fatty acid CoA ligase,Cytochrome c-reductase,Rotenone-insensitive,
Virulent organism producing severe tissue damage and extensive cell death is defined as:,Exudative inflammation,Necrotizing inflammation,Granulomatous inflammation,Interstitial inflammation,Cytopathic inflammation,
Which of the following is a major chemotactic factor for lung macrophages?,CXCL17,N-formylmethionine,Leukotriene B4,Complement system produce C5a,α-Chemokines,
Which of the following cell plays an important role in parasitic infections?,Neutrophil,Macrophage,Lymphocyte,Eosinophil,Basophil,
What is the effect of bradykinin?,Pain,Bronchodilation,Vasoconstriction,Decrease vascular permeability,Platelet aggregation,
What are the mediators of fever?,Cytokines IL-1,Leukotriene B4,Leukotriene C4,Prostacyclin,Thromboxane A2,
Which of the following cytokine is involved in the pathogenesis of Castleman disease?,IL-2,IL-4,IL-6 Multiple Choice Questions 4,IL-10,IL-5,
,,,,,,
