id,Question,A,B,C,D,E,F
Set_1: q1,Programmed cell death is also called as:,A. Degeneration,B. Calcification,C. Apoptosis,D. Necrosis,E. Atrophy,
Set_1: q2,Which of the following medical condition is because of inherited defect in DNA repair?,A. Acanthosis nigricans,B. Xeroderma pigmentosum,C. Basal cell nevus syndrome,D. Bloom syndrome,E. Werner syndrome,
Set_1: q3,Which of the following is a pathologic cause of hyperplasia?,A. Endometrial hyperplasia,B. Compensatory hyperplasia after partial hepatectomy,C. Hormonal stimulation seen in breast development at puberty,D. Antigenic stimulation seen in lymphoid hyperplasia,E. Cardiac muscle in hypertension,
Set_1: q4,"In pathology, what is the name given when there is a reversible change of one cell type to another?",A. Hyperplasia,B. Hypertrophy,C. Metaplasia,D. Dysplasia,E. Atrophy,
Set_1: q5,Which of the following is the best statement for lipofuscin?,A. Perinuclear yellow-brown pigment,B. Black-brown pigment,C. Golden yellow-brown granular pigment,D. Protein,E. Lipid,
Set_1: q6,"Location of calcifications in interstitial tissues of the stomach, kidneys, lungs, and blood vessels is called as:",A. Metastatic calcification.,B. Dystrophic calcification,C. Hyaline change,D. Cutaneous mycetoma,E. Molluscum contagiosum,
Set_1: q7,Psammoma bodies belong to which type of pathologic form of calcification?,A. Dystrophic calcification,B. Metastatic calcification,C. Calcifications in interstitial tissues of the stomach,D. Calcifications in the kidney,E. Calcifications in the blood vessels,
Set_1: q8,A 49-year-old woman has hypertension untreated for years. Which of the following cellular alteration will be seen in the myocardium of this patient?,A. Apoptosis,B. Atrophy,C. Hyperplasia,D. Metaplasia,E. Hypertrophy,
Set_1: q9,"In pathology, what is the name given to abnormal prolif - eration of cells that is characterized by changes in cell size, shape, and loss of cellular organization?",A. Hyperplasia,B. Hypertrophy,C. Metaplasia,D. Dysplasia,E. Atrophy,
Set_1: q10, Which type of necrosis is most characteristic of isch - emia involving the heart or kidney?,A. Coagulative,B. Liquefactive,C. Caseous,D. Fibrinoid,E. Enzymatic  2,
Set_1: q11, Apoptosis is an active process regulated by genes and involves RNA and protein synthesis. Which of the fol - lowing is a central organ in apoptosis?,A. Ribosomes,B. Golgi body,C. Mitochondria,D. Nucleus,E. Lysosomes,
Set_1: q12," Irreversible, uncontrolled cell death that occurs when antigen-antibody complexes are deposited in the walls of blood vessels along with fibrin is called as:",A. Gangrenous necrosis,B. Fat necrosis,C. Fibrinoid necrosis,D. Caseous necrosis,E. Liquefaction necrosis,
Set_1: q13, Which of the following organ shows liquefaction necrosis?,A. Heart,B. Brain,C. Gall bladder,D. Liver,E. Kidney,
Set_1: q14, Degeneration and condensation of nuclear chromatin is defined as:,A. Karyorrhexis,B. Karyolysis,C. Nuclear fusion,D. Nuclear fission,E. Pyknosis,
Set_1: q15," In tumor metastasis, cancer cells spread from the place where they first formed to another part of the body. What is essential for tumor metastasis?",A. Apoptosis,B. Inhibition of tyrosine kinase activity,C. Angiogenesis,D. Tumorigenesis,E. Ischemia,
Set_1: q16, A 10-year-old male child suffering from thalassemia comes to the pediatrician office for follow up checkup. On physical examination the skin of the patient has a bronze color. Which of the following findings will be seen in liver biopsy of this male child?,A. Apoptotic hepatocytes,B. Hepatocyte swelling,C. Hepatocyte regeneration,D. Hemosiderin in hepatocytes,E. Cholestasis,
Set_1: q17, Decrease in cell size and functional ability is defined as:,A. Atrophy,B. Apoptosis,C. Hypertrophy,D. Hyperplasia,E. Metaplasia,
