index,id,Answer,explaination
0.0,Set_1: q1,C. Apoptosis,"Apoptosis is a complex type of programmed cell death. Apoptosis is an active gene regulated process, involving RNA and protein synthesis. It often only affects single cells or small cell groups. Morphologically, cells shrink in size and have dense eosinophilic cytoplasm. There is a condensation of nuclear chromatin followed by fragmentation. There is a cell breakdown into fragments (apoptotic bodies). The conservation of plasma membrane integrity is a key feature of this physiological death process. Apoptosis lack an inflammatory reaction by inducing certain cytokines and producing regulatory T cells. The Bcl-2 oncoprotein inhibits apoptosis and p53 stimulates apoptosis. Embryogenesis and menstrual cycle are physiological manifestations of apoptosis. Sources of pathological apoptosis include viral hepa - titis (councilman bodies), graft versus host disease (GvHD), and cystic fibrosis."
1.0,Set_1: q2,B. Xeroderma pigmentosum,"Xeroderma pigmentosum (XP) is a rare disorder that has an increased sensitivity to ultraviolet radiation (UVR). There is an early onset of changes in skin and mucous membrane cancers associated with UVR. Many patients may experience progressive neurodegeneration. Patients with xeroderma pigmentosum are unable to repair the damage DNA. There is an increased risk for skin cancers (SCC, melanoma, and BCC). It is inherited as an autosomal recessive disorder."
2.0,Set_1: q3,A. Endometrial hyperplasia,"Hyperplasia is an increase in the number of cells in a tissue or organ. Physiological causes of hyperplasia are compensatory (after partial hepatectomy), hormonal stimulation (puberty breast development), and antigenic stimulation (lymphoid hyperplasia). Endometrial hyper - plasia, benign prostate hyperplasia are pathological causes of hyperplasia. Endometrial hyperplasia usually occurs due to prolonged unopposed action of estrogen on endometrial tissue. Hyperplasia is mediated by cyto - kines and growth factors. There is an increased expres - sion of growth promoting genes."
3.0,Set_1: q4,C. Metaplasia,"Metaplasia is a reversible change which replaces one type of adult cell with another. It usually occurs in response to irritation. Barrett esophagus exhibits an abnormal (metaplastic) change (normal stratified squa - mous epithelium to columnar epithelium). Another example of metaplasia is bronchial squamous metapla - sia induced by smoking. It also happens when two dis - tinct epithelial tissues cross (e.g., uterine cervix squamocolumnar junction)."
4.0,Set_1: q5,A. Perinuclear yellow-brown pigment,"Lipofuscin is a yellow-brown aging pigment. It is commonly seen in the liver and heart. Lipofuscin accu - mulates in age accumulating hepatocytes, and is also seen in young patients with severe malnutrition, show - ing an appearance described as ""brown atrophy."" It is seen in postmitotic cells, such as neurons. For the age of cells including neurons, the fate of postmitotic cells to produce lipofuscin (aging pigment), and is considered a reliable biomarker."
5.0,Set_1: q6,A. Metastatic calcification,"The metastatic calcification is calcium phosphate accumulation due to hypercalcemia in normal tissue. Hyperparathyroidism, chronic renal failure, parathyroid adenomas, paraneoplastic syndrome, vitamin D intoxi - cation, and metastatic cancer to the bone are the most common causes."
6.0,Set_1: q7,A. Dystrophic calcification,"Dystrophic calcification is calcium phosphate deposi - tion in either dying or necrotic tissues. Fat necrosis, psammoma bodies, Monckeberg medial calcific sclero - sis, and atherosclerotic plaques are common examples of dystrophic calcification. Psammoma bodies are com - monly found as laminated calcifications in meningiomas and papillary carcinomas of the thyroid."
7.0,Set_1: q8,E. Hypertrophy,"Hypertrophy refers to an increase in cell size that leads to an increase in organ size. The hypertrophied organ lacks any new cells, only bigger ones. Physiological causes of hypertrophy are weightlifters striated muscles. Left ventricular hypertrophy (LVH) in hypertension is an example of pathological hypertrophy. Hypertrophy is mediated by cytokines and growth factors."
8.0,Set_1: q9,D. Dysplasia,"Dysplasia is an irregular cell proliferation character - ized by changes in cell size, shape, and loss of cell orga - nization. Dysplasia commonly is neoplastic. Common example is cervical dysplasia."
9.0,Set_1: q10,A. Coagulative,"Coagulative necrosis is the most common form of necrosis caused by ischemia or infarction. Light micros - copy shows cellular preservation with the loss of the nucleus. It is commonly seen in heart, liver, and kidney."
