Question,A,B,C,D,E,index,Answer,explaination
Programmed cell death is also called as:,A. Degeneration,B. Calcification,C. Apoptosis,D. Necrosis,E. Atrophy,0.0,C. Apoptosis,"Apoptosis is a complex type of programmed cell death. Apoptosis is an active gene regulated process, involving RNA and protein synthesis. It often only affects single cells or small cell groups. Morphologically, cells shrink in size and have dense eosinophilic cytoplasm. There is a condensation of nuclear chromatin followed by fragmentation. There is a cell breakdown into fragments (apoptotic bodies). The conservation of plasma membrane integrity is a key feature of this physiological death process. Apoptosis lack an inflammatory reaction by inducing certain cytokines and producing regulatory T cells. The Bcl-2 oncoprotein inhibits apoptosis and p53 stimulates apoptosis. Embryogenesis and menstrual cycle are physiological manifestations of apoptosis. Sources of pathological apoptosis include viral hepa - titis (councilman bodies), graft versus host disease (GvHD), and cystic fibrosis."
Which of the following medical condition is because of inherited defect in DNA repair?,A. Acanthosis nigricans,B. Xeroderma pigmentosum,C. Basal cell nevus syndrome,D. Bloom syndrome,E. Werner syndrome,1.0,B. Xeroderma pigmentosum,"Xeroderma pigmentosum (XP) is a rare disorder that has an increased sensitivity to ultraviolet radiation (UVR). There is an early onset of changes in skin and mucous membrane cancers associated with UVR. Many patients may experience progressive neurodegeneration. Patients with xeroderma pigmentosum are unable to repair the damage DNA. There is an increased risk for skin cancers (SCC, melanoma, and BCC). It is inherited as an autosomal recessive disorder."
Which of the following is a pathologic cause of hyperplasia?,A. Endometrial hyperplasia,B. Compensatory hyperplasia after partial hepatectomy,C. Hormonal stimulation seen in breast development at puberty,D. Antigenic stimulation seen in lymphoid hyperplasia,E. Cardiac muscle in hypertension,2.0,A. Endometrial hyperplasia,"Hyperplasia is an increase in the number of cells in a tissue or organ. Physiological causes of hyperplasia are compensatory (after partial hepatectomy), hormonal stimulation (puberty breast development), and antigenic stimulation (lymphoid hyperplasia). Endometrial hyper - plasia, benign prostate hyperplasia are pathological causes of hyperplasia. Endometrial hyperplasia usually occurs due to prolonged unopposed action of estrogen on endometrial tissue. Hyperplasia is mediated by cyto - kines and growth factors. There is an increased expres - sion of growth promoting genes."
"In pathology, what is the name given when there is a reversible change of one cell type to another?",A. Hyperplasia,B. Hypertrophy,C. Metaplasia,D. Dysplasia,E. Atrophy,3.0,C. Metaplasia,"Metaplasia is a reversible change which replaces one type of adult cell with another. It usually occurs in response to irritation. Barrett esophagus exhibits an abnormal (metaplastic) change (normal stratified squa - mous epithelium to columnar epithelium). Another example of metaplasia is bronchial squamous metapla - sia induced by smoking. It also happens when two dis - tinct epithelial tissues cross (e.g., uterine cervix squamocolumnar junction)."
Which of the following is the best statement for lipofuscin?,A. Perinuclear yellow-brown pigment,B. Black-brown pigment,C. Golden yellow-brown granular pigment,D. Protein,E. Lipid,4.0,A. Perinuclear yellow-brown pigment,"Lipofuscin is a yellow-brown aging pigment. It is commonly seen in the liver and heart. Lipofuscin accu - mulates in age accumulating hepatocytes, and is also seen in young patients with severe malnutrition, show - ing an appearance described as ""brown atrophy."" It is seen in postmitotic cells, such as neurons. For the age of cells including neurons, the fate of postmitotic cells to produce lipofuscin (aging pigment), and is considered a reliable biomarker."
"Location of calcifications in interstitial tissues of the stomach, kidneys, lungs, and blood vessels is called as:",A. Metastatic calcification.,B. Dystrophic calcification,C. Hyaline change,D. Cutaneous mycetoma,E. Molluscum contagiosum,5.0,A. Metastatic calcification,"The metastatic calcification is calcium phosphate accumulation due to hypercalcemia in normal tissue. Hyperparathyroidism, chronic renal failure, parathyroid adenomas, paraneoplastic syndrome, vitamin D intoxi - cation, and metastatic cancer to the bone are the most common causes."
Psammoma bodies belong to which type of pathologic form of calcification?,A. Dystrophic calcification,B. Metastatic calcification,C. Calcifications in interstitial tissues of the stomach,D. Calcifications in the kidney,E. Calcifications in the blood vessels,6.0,A. Dystrophic calcification,"Dystrophic calcification is calcium phosphate deposi - tion in either dying or necrotic tissues. Fat necrosis, psammoma bodies, Monckeberg medial calcific sclero - sis, and atherosclerotic plaques are common examples of dystrophic calcification. Psammoma bodies are com - monly found as laminated calcifications in meningiomas and papillary carcinomas of the thyroid."
A 49-year-old woman has hypertension untreated for years. Which of the following cellular alteration will be seen in the myocardium of this patient?,A. Apoptosis,B. Atrophy,C. Hyperplasia,D. Metaplasia,E. Hypertrophy,7.0,E. Hypertrophy,"Hypertrophy refers to an increase in cell size that leads to an increase in organ size. The hypertrophied organ lacks any new cells, only bigger ones. Physiological causes of hypertrophy are weightlifters striated muscles. Left ventricular hypertrophy (LVH) in hypertension is an example of pathological hypertrophy. Hypertrophy is mediated by cytokines and growth factors."
"In pathology, what is the name given to abnormal prolif - eration of cells that is characterized by changes in cell size, shape, and loss of cellular organization?",A. Hyperplasia,B. Hypertrophy,C. Metaplasia,D. Dysplasia,E. Atrophy,8.0,D. Dysplasia,"Dysplasia is an irregular cell proliferation character - ized by changes in cell size, shape, and loss of cell orga - nization. Dysplasia commonly is neoplastic. Common example is cervical dysplasia."
 Which type of necrosis is most characteristic of isch - emia involving the heart or kidney?,A. Coagulative,B. Liquefactive,C. Caseous,D. Fibrinoid,E. Enzymatic  2,9.0,A. Coagulative,"Coagulative necrosis is the most common form of necrosis caused by ischemia or infarction. Light micros - copy shows cellular preservation with the loss of the nucleus. It is commonly seen in heart, liver, and kidney."
 Apoptosis is an active process regulated by genes and involves RNA and protein synthesis. Which of the fol - lowing is a central organ in apoptosis?,A. Ribosomes,B. Golgi body,C. Mitochondria,D. Nucleus,E. Lysosomes,10.0,C. Mitochondria,"Mitochondria is a central component of apoptosis (programmed cell death), which is regularly used to rid the body of cells that are no longer useful or properly function."
" Irreversible, uncontrolled cell death that occurs when antigen-antibody complexes are deposited in the walls of blood vessels along with fibrin is called as:",A. Gangrenous necrosis,B. Fat necrosis,C. Fibrinoid necrosis,D. Caseous necrosis,E. Liquefaction necrosis,11.0,C. Fibrinoid necrosis,Fibrinoid necrosis is necrotic tissue. Light micros - copy shows fibrin accumulation within the blood ves - sels. It is a cell death pattern due to endothelial damage and plasma protein exudation. Fibrinoid necrosis is usu - ally seen in malignant hypertension.
 Which of the following organ shows liquefaction necrosis?,A. Heart,B. Brain,C. Gall bladder,D. Liver,E. Kidney,12.0,B. Brain,"Hydrolytic enzymes cause cell destruction leading to liquefactive necrosis. This is seen in the brain after isch - emic damage. The release of digestive enzymes and neu - trophil constituents is the reason for liquefaction in infections. Microscopically, there are multiple neutro - phils and inflammatory cells."
 Degeneration and condensation of nuclear chromatin is defined as:,A. Karyorrhexis,B. Karyolysis,C. Nuclear fusion,D. Nuclear fission,E. Pyknosis,13.0,E. Pyknosis,"Pyknosis is an irreversible condensation of chromatin and the nucleus. The common causes are apoptotic and necrotic cells. The nucleus undergoes condensation in apoptotic, resulting in fragmentation into large clumps of chromatin. Finally, these clumps of chromatin are stuffed into apoptotic bodies. Nuclei condense into smaller clumps of chromatin in necrotic cells that are usually dissolved later."
" In tumor metastasis, cancer cells spread from the place where they first formed to another part of the body. What is essential for tumor metastasis?",A. Apoptosis,B. Inhibition of tyrosine kinase activity,C. Angiogenesis,D. Tumorigenesis,E. Ischemia,14.0,C. Angiogenesis,"Angiogenesis is a process not only for the preserva - tion of primary tumor ecosystems, but also for the devel - opment of new secondary tumor ecosystems at metastasized areas as well as for the invasion and propa - gation of tumor cells. A strong angiogenic factor is the vascular endothelial growth factor (VEGF). In many tumors, VEGF is upregulated and its tumor angiogenesis role is well known."
 A 10-year-old male child suffering from thalassemia comes to the pediatrician office for follow up checkup. On physical examination the skin of the patient has a bronze color. Which of the following findings will be seen in liver biopsy of this male child?,A. Apoptotic hepatocytes,B. Hepatocyte swelling,C. Hepatocyte regeneration,D. Hemosiderin in hepatocytes,E. Cholestasis,15.0,D. Hemosiderin in hepatocytes,"In hemosiderosis, hemosiderin is usually present in dermal macrophages and fibroblasts. Hepatocytes deposit hemosiderin. In liver, there is heavy periportal depositions of parenchymal iron and Kupffer cells are spared."
 Decrease in cell size and functional ability is defined as:,A. Atrophy,B. Apoptosis,C. Hypertrophy,D. Hyperplasia,E. Metaplasia,16.0,A. Atrophy,"Atrophy is a decrease in cell size and functional abil - ity. It results due to reduction in blood supply, poor nutrition, and decrease in normal hormonal stimulation. This causes shrinkage of the affected organ. Common examples of atrophy are immobilization, ischemia (ath - erosclerosis). Light microscopy shows small shrunken cells."
