id,Question,A,B,C,D,E,F
Set_1: q2,Which of the following medical condition is because of inherited defect in DNA repair?,Acanthosis nigricans,Xeroderma pigmentosum,Basal cell nevus syndrome,Bloom syndrome,Werner syndrome,
Set_1: q3,Which of the following is a pathologic cause of hyperplasia?,Endometrial hyperplasia,Compensatory hyperplasia after partial hepatectomy,Hormonal stimulation seen in breast development at puberty,Antigenic stimulation seen in lymphoid hyperplasia,Cardiac muscle in hypertension,
Set_1: q4,"In pathology, what is the name given when there is a reversible change of one cell type to another?",Hyperplasia,Hypertrophy,Metaplasia,Dysplasia,Atrophy,
Set_1: q5,Which of the following is the best statement for lipofuscin?,Perinuclear yellow-brown pigment,Black-brown pigment,Golden yellow-brown granular pigment,Protein,Lipid,
Set_1: q6,"Location of calcifications in interstitial tissues of the stomach, kidneys, lungs, and blood vessels is called as:",Metastatic calcification.,Dystrophic calcification,Hyaline change,Cutaneous mycetoma,Molluscum contagiosum,
Set_1: q7,Psammoma bodies belong to which type of pathologic form of calcification?,Dystrophic calcification,Metastatic calcification,Calcifications in interstitial tissues of the stomach,Calcifications in the kidney,Calcifications in the blood vessels,
Set_1: q8,A 49-year-old woman has hypertension untreated for years. Which of the following cellular alteration will be seen in the myocardium of this patient?,Apoptosis,Atrophy,Hyperplasia,Metaplasia,Hypertrophy,
Set_1: q9,"In pathology, what is the name given to abnormal prolif - eration of cells that is characterized by changes in cell size, shape, and loss of cellular organization?",Hyperplasia,Hypertrophy,Metaplasia,Dysplasia,Atrophy,
Set_1: q10,Which type of necrosis is most characteristic of isch - emia involving the heart or kidney?,Coagulative,Liquefactive,Caseous,Fibrinoid,Enzymatic  2,
Set_1: q11,Apoptosis is an active process regulated by genes and involves RNA and protein synthesis. Which of the fol - lowing is a central organ in apoptosis?,Ribosomes,Golgi body,Mitochondria,Nucleus,Lysosomes,
Set_1: q12,"Irreversible, uncontrolled cell death that occurs when antigen-antibody complexes are deposited in the walls of blood vessels along with fibrin is called as:",Gangrenous necrosis,Fat necrosis,Fibrinoid necrosis,Caseous necrosis,Liquefaction necrosis,
Set_1: q13,Which of the following organ shows liquefaction necrosis?,Heart,Brain,Gall bladder,Liver,Kidney,
Set_1: q14,Degeneration and condensation of nuclear chromatin is defined as:,Karyorrhexis,Karyolysis,Nuclear fusion,Nuclear fission,Pyknosis,
Set_1: q15,"In tumor metastasis, cancer cells spread from the place where they first formed to another part of the body. What is essential for tumor metastasis?",Apoptosis,Inhibition of tyrosine kinase activity,Angiogenesis,Tumorigenesis,Ischemia,
Set_1: q16,A 10-year-old male child suffering from thalassemia comes to the pediatrician office for follow up checkup. On physical examination the skin of the patient has a bronze color. Which of the following findings will be seen in liver biopsy of this male child?,Apoptotic hepatocytes,Hepatocyte swelling,Hepatocyte regeneration,Hemosiderin in hepatocytes,Cholestasis,
Set_1: q17,Decrease in cell size and functional ability is defined as:,Atrophy,Apoptosis,Hypertrophy,Hyperplasia,Metaplasia,
Set_1: q18,Walerian degeneration is seen in:,Part of nerve attached to cell body in a nerve that is cut peripherally,Cell body that is not attached to the nerve that is cut,Part of nerve not attached to cell body,Cell body that is attached to the nerve that is cut,It is not a type of nerve injury,
Set_1: q19,Granuloma is characterized by-,Focal accumulation of activated macrophages,Collection of neutrophils,Newly formed vessels,Collection of eosinophils,Collection of basophils,
Set_1: q20,"Marked mitochondrial dysfunction, mitochondrial swelling and large densities within the mitochondrial matrix are seen in which type of cell injury?",Cell death,Irreversible cell injury,Reversible cell injury,Necrosis,Apoptosis,
Set_1: q21,"To which of the following family of chemical mediators of inflammation, lipoxins belong?",Chemokines,Arachidonic acid metabolites,Kinin system,Cytokines,Vasoactive amines,
Set_1: q22,Enzyme responsible for respiratory burst is?,Peroxidase,Catalase,NADPH oxidase,Dehydrogenase,Lysozyme,
Set_1: q23,Procalcitonin is considered as a marker for?,Sepsis,Medullary carcinoma of thyroid,Vitamin D resistant rickets,Parathyroid adenoma,Hyperthyroidism,
Set_1: q24,"A 92-year-old man presents to his health care provider with a history of mild dementia, osteoarthritis, emphy - sema, cataract, and hypertension. What is the most likely diagnosis?",Hypovitaminosis E,Werner syndrome,Natural aging,Progeria (Hutchinson-Gilford syndrome),"Alzheimer’s disease1 Cellular Pathology, Inflammation, and Repair 3",
Set_1: q25,What cellular adaptation has occurred in this tissue shown below?,Metaplasia,Hyperplasia,Fatty change,Hypertrophy,Atrophy,
Set_1: q26,Which of the following disorder is more likely to be associated with an exudate rather than a transudate?,Congestive heart failure,Inflammation,Nephrotic syndrome,Chronic liver disease,Diabetes mellitus,
Set_1: q27,In acute inflammation hemodynamic changes like mas - sive vasodilation are mediated by which of the following chemicals?,Histamine,Bradykinin,Prostaglandins,"Histamine, bradykinin, and prostaglandins",Histamine and bradykinin,
Set_1: q28,Inflammation is associated with which of the following cytokines?,Cytokines (IL-1),Cytokines (IL-6),Tumor necrosis factor-alpha,"IL-1, IL-6, and tumor necrosis factor-alpha",Prostacyclin (PGI 2),
Set_1: q29,Cytokines IL-8 is produced by which cell?,Neutrophil,Macrophage,Lymphocyte,Eosinophil,Basophil,
Set_1: q30,Kupffer cells are found in which system?,Connective tissue,Lung,Liver,Bone,Brain,
Set_1: q31,Which of the mitochondrial enzyme that activates cas - pases and indirectly brings about cell death through intrinsic pathway apoptosis?,Cytochrome c,Monoamine oxidase,Fatty acid CoA ligase,Cytochrome c-reductase,Rotenone-insensitive,
Set_1: q32,Virulent organism producing severe tissue damage and extensive cell death is defined as:,Exudative inflammation,Necrotizing inflammation,Granulomatous inflammation,Interstitial inflammation,Cytopathic inflammation,
Set_1: q33,Which of the following is a major chemotactic factor for lung macrophages?,CXCL17,N-formylmethionine,Leukotriene B4,Complement system produce C5a,α-Chemokines,
Set_1: q34,Which of the following cell plays an important role in parasitic infections?,Neutrophil,Macrophage,Lymphocyte,Eosinophil,Basophil,
Set_1: q35,What is the effect of bradykinin?,Pain,Bronchodilation,Vasoconstriction,Decrease vascular permeability,Platelet aggregation,
Set_1: q36,What are the mediators of fever?,Cytokines IL-1,Leukotriene B4,Leukotriene C4,Prostacyclin,Thromboxane A2,
Set_1: q37,Which of the following cytokine is involved in the pathogenesis of Castleman disease?,IL-2,IL-4,IL-6 Multiple Choice Questions 4,IL-10,IL-5,
Set_1: q38,Which of the following important mediators in asthma?,"Cytokines IL-4, IL-5, and IL-13",Interleukin-7 (IL-7),Interleukin-1 (IL-1),Interleukin-6 (IL-6),Interleukin-8 (IL-8),
Set_2: q1,Turner syndrome,Klinefelter syndrome,Edward syndrome,Cri du Chat syndrome,Patau syndrome,,
Set_2: q2,What is the karyotype of Klinefelter syndrome?,45 XO,47 XXY,46 XX,47 XX,47 XY,
Set_2: q3,Chromosomal aberrations are due to a change in the nor - mal chromosome number or a change in the structure of a chromosome. What is the genetic abnormality in Cri du Chat syndrome?,45 XO,47 XXY,Deletion of chromosome 5p,47 XX,47 XY,
Set_2: q4,What are the clinical findings of Edward syndrome?,"Mental retardation, low set ears, micrognathia, over - lapping of the fingers, and rocker-bottom feet","Mental retardation, cleft lip and palate, cardiac defects, and polydactyly","Mental retardation, characteristic high pitched cat- like cry, congenital heart disease, and microcephaly","Testicular atrophy, female distribution of hair, and gynecomastia","Short stature, primary amenorrhea, infertility, cystic hygroma, and webbing of the neck",
Set_2: q5,"Which of the following is the most frequent form of familial mental retardation, mainly in males, with large ears and macro-orchidism?",Fragile X syndrome,Sotos syndrome,Asperger syndrome,Prader-Willi syndrome,Rett syndrome,
Set_2: q6,Which of the following statements is correct regarding Niemann-Pick disease?,Enzyme defect is a deficiency of sphingomyelinase,Enzyme defect is a deficiency of glucocerebrosidase,Enzyme defect is a deficiency of hexosaminidase A,Enzyme defect is a deficiency of glucose-6-phospha - tase,Enzyme defect is a deficiency of lysosomal glucosi - dase (acid maltase),
Set_2: q7,"Which of the following is an autosomal recessive muco - polysaccharide storage disease which leads to typical facial dysmorphism with short stature, dementia, cor - neal clouding, and hepatosplenomegaly?",Hurler syndrome,Hunter syndrome,Sanfilippo syndrome,Maroteaux-Lamy syndrome,Sly syndrome,
Set_2: q8,"Which of the following syndromes present as a recessive syndrome of primordial growth deficiency, telangiec - tatic erythema, and tendency to develop malignant tumors?",Turner syndrome,Klinefelter syndrome,Edward syndrome,Cri du Chat syndrome,Bloom syndrome,
Set_2: q9,"Which of the following condition presents with classic generalized skeletal dysplasia with disproportionate  10 short stature, large head, coarse facial features, and X-ray findings of thoracolumbar kyphosis and lumbosa - cral lordosis?",Thanatophoric dysplasia,Achondroplasia,Hypochondroplasia,Pseudoachondroplasia,Metatropic dwarfism,
Set_2: q10,Which of the following is a common finding in sponta - neously aborted fetuses?,Inversion,Deletion,Polyploidy,Nondisjunction,Trinucleotide repeat mutations,
Set_2: q11,Which of the following is a hereditary metabolic disor - der with short stature and rachitic bone changes?,Familial hypophosphatemic rickets,Vitamin D deficiency rickets,Metaphyseal chondrodysplasia syndrome,Cartilage-hair hypoplasia,Pseudohypoparathyroidism,
Set_2: q12,"Which of the following is a syndrome of oculocutaneous albinism, frequent bacterial infections, and large lyso - somal granules in the granulocytes?",Cutaneous T cell lymphoma,Oculocutaneous albinism,Chediak-Higashi syndrome,Pyoderma gangrenosum,Hemophagocytic lymphohistiocytosis (HLH),
Set_2: q13,What are the clinical findings of Patau syndrome?,"Mental retardation, low set ears, micrognathia, over - lapping fixed fingers, and Rocker-bottom feet.","Mental retardation, cleft lip and palate, cardiac defects, and polydactyly","Mental retardation, characteristic high pitched cat- like cry, congenital heart disease, and microcephaly","Testicular atrophy, female distribution of hair, and gynecomastia","Short stature, primary amenorrhea, infertility, cystic hygroma, and webbing of the neck",
Set_2: q14,An autosomal dominance is one of the many ways that a trait or disorder can be passed down through families. An autosomal dominant condition is?,Albinism,Huntington’s disease,Hurler’s syndrome,Hunter’s syndrome,Tay-Sachs disease.,
Set_2: q15,Which of the following statements is correct regarding Gaucher disease?,Enzyme defect is a deficiency of sphingomyelinase,Enzyme defect is a deficiency of glucocerebrosidase,Enzyme defect is a deficiency of hexosaminidase A,Enzyme defect is a deficiency of glucose-6-phospha - tase,Enzyme defect is a deficiency of lysosomal glucosi - dase (acid maltase),
Set_2: q16,Which of the following medical condition is caused by deficiency of the enzyme hexosaminidase?,Tay-Sachs disease,Hurler syndrome,Fabry disease,Pompe disease,V on Gierke disease,
Set_2: q17,"Which of the following is a characteristic of hereditary disorder of multiple cafe au lait spots, skin tumors, skel - etal and neurological signs?",Multiple lentigines syndrome,McCune-Albright syndrome,Acoustic neuroma,Neurofibromatosis type 2,Neurofibromatosis type 1,
Set_2: q18,Marfan syndrome is an autosomal dominant connective tissue disorder. Which of the following mutation is seen in Marfan syndrome?,Fibrillin-1,Fibrillin-2,P mutation in chromosome 12q,DCP mutation in chromosome 15,P mutation in chromosome 11 p,
Set_2: q19,"Which of the following is a characteristic syndrome of macular hemangiomas, especially of the face, signs of cerebral foci, and mental retardation common?",Sturge-Weber syndrome,Klippel-Trenaunay-Weber syndrome,Beckwith-Wiedemann syndrome,Siderosis,Dyke-Davidoff-Masson syndrome,
Set_2: q20,Duchenne muscular dystrophy (DMD) is a rare muscle disorder. Duchenne muscular dystrophy is inherited as:,Mitochondrial DNA,Autosomal dominant,X-linked recessive,X-linked dominant,Multifactorial,
Set_2: q21,A 35-year-old woman has V on Hippel-Lindau disease. The gene implicated in the renal tumor associated with V on Hippel-Lindau disease is located on chromosome:,3p,5q,11p,13q,17q2 Genetic Disorders 11,
Set_2: q22,A 5-year-old child presents with a history of viral and fungal infections and has calcium of 5.6 mg/dL.  The most likely diagnosis is:,Fragile X syndrome,X-linked agammaglobulinemia,DiGeorge’s syndrome,Ehlers-Danlos syndrome (EDS),Tay-Sachs disease,
Set_2: q23,Which of the following medical condition is an X-linked recessive disorder?,Familial hypercholesterolemia,V on Hippel-Lindau disease,Marfan’s syndrome,Wiskott-Aldrich syndrome,Albinism,
